date,agegrp,pi_uc,resp_uc,resp_cardio_uc,natural,population,perc_pos_flu,perc_pos_fluAh1n1,perc_pos_fluAh3n2,perc_pos_fluB,perc_pos_rsv
3/12/2017,60+ yrs,147,347,1371,3516,4950886,0.007642358,0.002136752,0.003174603,0.002331002,0.241819292
5/28/2017,60+ yrs,147,424,1572,3890,4950886,0.111008354,0.013332765,0.092644176,0.005031413,0.182856354
11/12/2017,60+ yrs,147,407,1499,3720,4950886,0.052325935,0.003205128,0.003205128,0.045915679,0.024168947
9/16/2018,60+ yrs,147,480,1664,3927,5098435,0.284895704,0.010853851,0.029003695,0.245038158,0.012257661
2/28/2010,60+ yrs,148,379,1288,3140,4024870,0.071442634,0.006451613,0.015053763,0.049937257,0.245293539
11/28/2010,60+ yrs,148,375,1302,3152,4024870,0.09382716,0.024691358,0.027777778,0.041358025,0.019012346
4/21/2013,60+ yrs,148,387,1432,3421,4391538,0.076845955,0.053018705,0.011543632,0.012283619,0.184479386
12/21/2014,60+ yrs,148,380,1468,3527,4527167,1.16E-17,1.91E-17,-1.39E-17,7.95E-18,0.010752688
4/24/2016,60+ yrs,148,369,1394,3385,4806961,0.039174305,1.42E-17,-6.94E-18,0.039174305,0.233269447
4/9/2017,60+ yrs,148,387,1360,3361,4950886,0.017112106,0.001792115,0.008556053,0.006763939,0.276224635
8/19/2018,60+ yrs,148,456,1725,4012,5098435,0.253631159,0.015506416,0.016073888,0.222050856,0.030464274
11/21/2010,60+ yrs,149,382,1403,3321,4024870,0.048830409,0.005847953,8.10E-18,0.042982456,0.015438596
12/19/2010,60+ yrs,149,395,1393,3336,4024870,0.051564425,0.018231091,8.10E-18,0.033333333,0.036462183
4/10/2011,60+ yrs,149,372,1291,3133,4140047,0.02859414,0.025022712,8.10E-18,0.003571429,0.253688142
1/29/2012,60+ yrs,149,370,1373,3292,4264528,0.01318096,8.67E-18,0.009944714,0.003236246,0.063151576
9/23/2012,60+ yrs,149,410,1408,3276,4264528,0.135347995,8.67E-18,0.027109293,0.108238702,0.07300163
10/23/2016,60+ yrs,149,377,1533,3657,4806961,0.037565139,0.015809928,0.018752208,0.003003003,0.06934508
12/13/2009,60+ yrs,150,389,1384,3232,3923521,0.011111111,1.50E-17,4.63E-18,5.78E-19,0.07791288
2/19/2012,60+ yrs,150,331,1276,3129,4264528,0.013416936,0.01018069,8.10E-18,0.003236246,0.152473692
11/13/2016,60+ yrs,150,380,1428,3397,4806961,0.006546015,0.003401361,-8.67E-18,0.003144654,0.067797685
12/25/2016,60+ yrs,150,369,1390,3358,4806961,0.046296296,0.007936508,0.033068783,0.005291005,0.066798942
10/22/2017,60+ yrs,150,400,1546,3715,4950886,0.054727021,0.002347418,0.007563711,0.044815893,0.024993636
4/12/2009,60+ yrs,151,364,1321,3168,3923521,0.03030303,0,0.03030303,0,0.398653199
10/18/2009,60+ yrs,151,378,1356,3194,3923521,0.017364906,0.010928962,4.63E-18,0.006435944,0.006435944
2/7/2010,60+ yrs,151,370,1460,3466,4024870,0.096100629,0.016666667,0.021477987,0.057955975,0.098682454
11/14/2010,60+ yrs,151,409,1410,3232,4024870,0.096978558,0.017422027,0.013888889,0.065667641,0.020068226
12/25/2011,60+ yrs,151,356,1311,3116,4140047,0.004975124,8.67E-18,8.67E-18,0.004975124,0.066820443
12/16/2012,60+ yrs,151,359,1372,3327,4264528,0.023258959,0.005747126,0.007843137,0.009668695,0.128296146
1/12/2014,60+ yrs,151,392,1423,3465,4527167,0.054501111,1.73E-17,0.011904762,0.042596349,0.108132908
4/13/2014,60+ yrs,151,400,1427,3534,4527167,0.026893939,0.011742424,-5.78E-19,0.015151515,0.157761941
9/23/2018,60+ yrs,151,460,1609,3796,5098435,0.250498606,0.013940612,0.02387549,0.212682504,0.005420054
9/30/2018,60+ yrs,151,450,1616,3765,5098435,0.185674005,0.010216217,0.013843111,0.161614677,0.008423057
